Control_Shoot_Length,Control_Root_Length,T1_Shoot_Length,T1_Root_Length,T2_Shoot_Length,T2_Root_Length,T3l_Shoot_Length,T3_Root_Length
10.30,19.30,17.30,19.00,16.30,19.80,13.40,9.80
13.80,19.00,17.20,16.30,11.70,16.00,9.30,15.50
15.10,19.00,16.30,11.70,13.50,11.40,7.50,14.60
13.70,19.00,16.30,15.50,10.20,15.50,11.70,10.30
15.10,18.30,15.70,14.60,13.40,16.80,10.80,12.60
13.40,18.10,15.50,14.00,11.70,14.60,15.30,15.80
15.40,17.40,15.50,16.30,15.30,16.80,11.40,12.30
15.50,17.30,15.50,16.30,17.20,15.50,15.10,13.60
15.30,17.30,15.40,16.80,13.40,9.80,5.50,9.40
15.50,17.00,15.30,16.10,15.50,12.20,14.70,15.50
12.30,16.80,15.30,19.60,9.20,10.30,12.60,9.40
15.20,16.40,15.30,19.20,15.10,14.80,11.70,10.00
11.30,16.30,14.70,15.50,5.50,6.30,12.60,18.30
14.70,16.00,14.70,10.60,11.30,14.80,15.50,16.40
14.70,16.00,14.70,15.50,10.60,9.40,12.50,13.10
17.30,15.50,14.60,12.20,12.20,15.50,14.60,15.20
13.40,15.50,13.40,11.80,10.60,9.40,15.50,16.20
13.20,15.50,13.40,16.30,11.70,14.00,13.10,17.10
13.20,15.50,13.40,16.80,9.20,11.30,9.30,10.30
13.10,15.50,13.40,16.50,10.40,9.20,11.70,14.00
11.70,15.50,13.40,12.50,8.30,11.00,9.30,15.50
10.20,15.50,13.40,10.30,14.70,15.50,5.50,7.30
9.30,15.50,13.30,16.00,12.20,14.00,16.40,19.10
9.30,15.50,13.30,15.50,15.30,11.70,15.30,20.00
9.30,15.50,13.20,17.40,9.20,14.80,14.70,19.30
10.30,14.70,12.70,10.00,14.70,10.00,13.20,15.50
15.20,14.60,12.20,13.40,10.30,15.50,10.40,9.80
11.70,14.60,12.20,11.80,14.70,16.40,8.30,11.80
11.30,14.60,12.20,10.60,9.30,15.50,12.20,14.50
10.30,14.60,12.20,14.00,10.20,14.80,10.60,14.70
10.30,14.60,12.20,9.40,13.40,15.50,8.30,12.20
6.30,14.60,11.90,13.00,9.30,11.70,10.20,11.70
12.70,14.10,11.70,10.00,10.40,12.20,16.40,15.50
11.70,14.10,11.70,14.00,11.70,14.00,9.30,11.30
12.70,14.00,11.70,10.00,17.30,19.80,8.10,9.40
